identifi0,district_name,count_of_incidents_by_area
15722.0 ,WAVENEY DISTRICT,238.92
11989.0 ,HOUNSLOW LONDON BORO,85.04
13376.0 ,GREENWICH LONDON BORO,4.19
18184.0 ,CAERDYDD - CARDIFF,1.94
10093.0 ,TOWER HAMLETS LONDON BORO,1.37
13544.0 ,NEWHAM LONDON BORO,1.30
18019.0 ,WORCESTER DISTRICT,1.23
15087.0 ,BARKING AND DAGENHAM LONDON BORO,1.00
17911.0 ,BRENT LONDON BORO,0.99
12001.0 ,HYNDBURN DISTRICT,0.78
12645.0 ,HERTSMERE DISTRICT,0.77
14121.0 ,BURNLEY DISTRICT,0.70
18071.0 ,WYRE DISTRICT,0.68
13434.0 ,BEXLEY LONDON BORO,0.61
16175.0 ,WALTHAM FOREST LONDON BORO,0.59
13530.0 ,BLACKPOOL,0.57
17598.0 ,CHESTERFIELD DISTRICT,0.56
15613.0 ,ENFIELD LONDON BORO,0.55
14780.0 ,WAKEFIELD DISTRICT,0.53
14921.0 ,KIRKLEES DISTRICT,0.52
14947.0 ,HOUNSLOW LONDON BORO,0.52
16764.0 ,CASTLE POINT DISTRICT,0.51
12429.0 ,LINCOLN DISTRICT,0.50
12509.0 ,CITY OF PORTSMOUTH,0.50
16844.0 ,SOUTH RIBBLE DISTRICT,0.50
13994.0 ,HILLINGDON LONDON BORO,0.48
11336.0 ,CITY OF LEICESTER,0.48
12848.0 ,BARNET LONDON BORO,0.47
14296.0 ,EALING LONDON BORO,0.47
16191.0 ,ST. HELENS DISTRICT,0.46
15132.0 ,MERTON LONDON BORO,0.45
14380.0 ,PENDLE DISTRICT,0.45
17426.0 ,WIGAN DISTRICT,0.44
14173.0 ,LEEDS DISTRICT,0.44
16937.0 ,ROTHERHAM DISTRICT,0.44
10829.0 ,DUDLEY DISTRICT,0.43
17206.0 ,GREENWICH LONDON BORO,0.42
11872.0 ,HACKNEY LONDON BORO,0.42
10961.0 ,HALTON,0.42
14167.0 ,KENSINGTON AND CHELSEA LONDON BORO,0.41
18178.0 ,SHEFFIELD DISTRICT,0.41
16518.0 ,BRADFORD DISTRICT,0.41
16161.0 ,BLACKBURN WITH DARWEN,0.41
17799.0 ,PRESTON DISTRICT,0.41
16181.0 ,TAUNTON DEANE DISTRICT,0.41
10583.0 ,POOLE,0.40
14112.0 ,EASTLEIGH DISTRICT,0.40
10532.0 ,DARTFORD DISTRICT,0.40
12672.0 ,SANDWELL DISTRICT,0.40
15520.0 ,CASNEWYDD - NEWPORT,0.40
13807.0 ,HARLOW DISTRICT,0.39
12767.0 ,CALDERDALE DISTRICT,0.39
15356.0 ,STEVENAGE DISTRICT,0.39
14773.0 ,LIVERPOOL DISTRICT,0.38
11217.0 ,CITY OF WESTMINSTER LONDON BORO,0.37
16700.0 ,HAMMERSMITH AND FULHAM LONDON BORO,0.37
12472.0 ,GATESHEAD DISTRICT,0.36
17201.0 ,CITY OF BRISTOL,0.36
14568.0 ,SIR Y FFLINT - FLINTSHIRE,0.35
12688.0 ,KNOWSLEY DISTRICT,0.35
15889.0 ,NORTHAMPTON DISTRICT,0.35
11702.0 ,SALFORD DISTRICT,0.34
18182.0 ,CAERDYDD - CARDIFF,0.33
16908.0 ,BARNSLEY DISTRICT,0.33
17953.0 ,LUTON,0.32
14188.0 ,CITY OF DERBY,0.32
13465.0 ,THURROCK,0.32
14963.0 ,CHRISTCHURCH DISTRICT,0.32
13305.0 ,HARROW LONDON BORO,0.32
15851.0 ,NORTH TYNESIDE DISTRICT,0.32
16449.0 ,SLOUGH,0.31
14175.0 ,CANNOCK CHASE DISTRICT,0.30
16450.0 ,CASTLE POINT DISTRICT,0.30
16857.0 ,BIRMINGHAM DISTRICT,0.30
17821.0 ,GLOUCESTER DISTRICT,0.30
13232.0 ,CITY OF NOTTINGHAM,0.29
13238.0 ,SPELTHORNE DISTRICT,0.29
15259.0 ,SOUTHEND-ON-SEA,0.29
17675.0 ,CITY OF WOLVERHAMPTON DISTRICT,0.29
10223.0 ,MANCHESTER DISTRICT,0.29
16750.0 ,WARRINGTON,0.28
12496.0 ,BURY DISTRICT,0.28
