district_name	count_of_incidents_by_area	blue_inhalers	brown_inhalers	authorised_emissions
CORNWALL	0.08819171	1474695	6975.868421	5.037916313
HARTLEPOOL	0.156347192	680400	288297	7.369126577
NORTH TYNESIDE DISTRICT	0.188561808	648526	120486.5	7.596628111
NEWCASTLE UPON TYNE DISTRICT	0.159861051	648526	240973	4.90357305
MERTON LONDON BORO	0.223606798	588592	257657	4.634477351
KINGSTON UPON THAMES LONDON BORO	0.133333333	588592	257657	1.447328614
LAMBETH LONDON BORO	0.08819171	588592	257657	0
RICHMOND UPON THAMES LONDON BORO	0.145296631	588592	64414.25	0
WANDSWORTH LONDON BORO	0.081649658	588592	257657	0
MANCHESTER DISTRICT	0.179505494	588586	243855	5.391282764
ROCHDALE DISTRICT	0.173205081	588586	243855	5.391131055
BURY DISTRICT	0.176383421	588586	243855	5.01318287
ROSSENDALE DISTRICT	0.152752523	588586	243855	4.793063681
OLDHAM DISTRICT	0.152752523	588586	243855	4.322818621
CITY OF DERBY	0.188561808	551149	314805	7.349999935
EREWASH DISTRICT	0.159861051	551149	314805	0
WAKEFIELD DISTRICT	0.24267033	532032	243598	7.588557877
HIGH PEAK DISTRICT	0.1	532032	243598	7.238327275
BARNSLEY DISTRICT	0.191485422	532032	243598	4.839100795
CASTLE POINT DISTRICT	0.3	522483	16403.5	0
ROCHFORD DISTRICT	0.137436854	522483	24605.25	0
TENDRING DISTRICT	0.081649658	475947	1139.189189	5.058202313
KNOWSLEY DISTRICT	0.197202659	467208	147915	5.768863008
ST. HELENS DISTRICT	0.226077666	467208	147915	5.222934885
CITY OF KINGSTON UPON HULL	0.188561808	465553.5	122507	4.975601819
CITY OF NOTTINGHAM	0.179505494	463734	187821	5.215129806
BROXTOWE DISTRICT	0.1	463734	187821	4.690417602
EAST LINDSEY DISTRICT	0.057735027	452277	38449.8	6.919083168
NORTH EAST LINCOLNSHIRE	0.1	452277	192249	7.592661708
BOURNEMOUTH	0.081649658	448695	208233	4.230883126
